Frequency  	Gain       
41792057.23 	-94.9246488 
41886137.35 	-94.8653051 
41980429.26 	-94.805958  
42074933.43 	-94.7466074 
42169650.34 	-94.6872534 
42264580.48 	-94.627896  
42359724.32 	-94.5685351 
42455082.34 	-94.5091707 
42550655.02 	-94.4498028 
42646442.86 	-94.3904314 
42742446.33 	-94.3310564 
42838665.91 	-94.2716779 
42935102.1  	-94.2122959 
43031755.38 	-94.1529102 
43128626.25 	-94.093521  
43225715.18 	-94.0341282 
43323022.67 	-93.9747317 
43420549.22 	-93.9153316 
43518295.32 	-93.8559278 
43616261.45 	-93.7965203 
43714448.13 	-93.7371092 
43812855.83 	-93.6776943 
43911485.07 	-93.6182757 
44010336.33 	-93.5588533 
44109410.13 	-93.4994272 
44208706.95 	-93.4399973 
44308227.3  	-93.3805636 
44407971.69 	-93.3211261 
44507940.62 	-93.2616847 
44608134.6  	-93.2022395 
44708554.12 	-93.1427905 
44809199.71 	-93.0833375 
44910071.86 	-93.0238806 
45011171.09 	-92.9644198 
45112497.92 	-92.9049551 
45214052.84 	-92.8454864 
45315836.38 	-92.7860138 
45417849.04 	-92.7265371 
45520091.36 	-92.6670564 
45622563.83 	-92.6075717 
45725266.99 	-92.5480829 
45828201.35 	-92.4885901 
45931367.42 	-92.4290932 
46034765.74 	-92.3695922 
46138396.83 	-92.310087  
46242261.2  	-92.2505777 
46346359.39 	-92.1910643 
46450691.92 	-92.1315466 
46555259.31 	-92.0720248 
46660062.1  	-92.0124987 
46765100.82 	-91.9529684 
46870376    	-91.8934339 
46975888.17 	-91.833895  
47081637.86 	-91.7743519 
47187625.61 	-91.7148044 
47293851.95 	-91.6552526 
47400317.42 	-91.5956964 
47507022.57 	-91.5361359 
47613967.92 	-91.476571  
47721154.02 	-91.4170016 
47828581.42 	-91.3574278 
47936250.65 	-91.2978496 
48044162.25 	-91.2382668 
48152316.79 	-91.1786796 
48260714.79 	-91.1190878 
48369356.82 	-91.0594915 
48478243.42 	-90.9998907 
48587375.13 	-90.9402852 
48696752.52 	-90.8806752 
48806376.13 	-90.8210605 
48916246.52 	-90.7614412 
49026364.24 	-90.7018172 
49136729.86 	-90.6421885 
49247343.92 	-90.5825551 
49358207    	-90.522917  
49469319.64 	-90.4632741 
49580682.42 	-90.4036264 
49692295.89 	-90.3439739 
49804160.61 	-90.2843166 
49916277.16 	-90.2246545 
50028646.11 	-90.1649875 
50141268.01 	-90.1053156 
50254143.44 	-90.0456388 
50367272.97 	-89.9859571 
50480657.17 	-89.9262704 
50594296.61 	-89.8665788 
50708191.88 	-89.8068821 
50822343.54 	-89.7471804 
50936752.17 	-89.6874737 
51051418.35 	-89.6277619 
51166342.66 	-89.568045  
51281525.69 	-89.5083229 
51396968.01 	-89.4485958 
51512670.2  	-89.3888634 
51628632.86 	-89.3291259 
51744856.57 	-89.2693832 
51861341.92 	-89.2096352 
51978089.49 	-89.149882  
52095099.88 	-89.0901235 
52212373.67 	-89.0303597 
52329911.47 	-88.9705905 
52447713.86 	-88.910816  
52565781.44 	-88.8510361 
52684114.81 	-88.7912508 
52802714.56 	-88.73146   
52921581.31 	-88.6716638 
53040715.63 	-88.6118621 
53160118.15 	-88.5520549 
53279789.46 	-88.4922422 
53399730.17 	-88.4324239 
53519940.88 	-88.3726    
53640422.2  	-88.3127706 
53761174.75 	-88.2529354 
53882199.12 	-88.1930946 
54003495.94 	-88.1332482 
54125065.82 	-88.073396  
54246909.37 	-88.013538  
54369027.21 	-87.9536743 
54491419.95 	-87.8938048 
54614088.22 	-87.8339295 
54737032.63 	-87.7740483 
54860253.81 	-87.7141613 
54983752.37 	-87.6542683 
55107528.95 	-87.5943695 
55231584.17 	-87.5344646 
55355918.66 	-87.4745538 
55480533.04 	-87.414637  
55605427.95 	-87.3547141 
55730604.01 	-87.2947851 
55856061.87 	-87.2348501 
55981802.15 	-87.1749089 
56107825.48 	-87.1149616 
56234132.52 	-87.0550081 
56360723.89 	-86.9950484 
56487600.24 	-86.9350824 
56614762.2  	-86.8751102 
56742210.43 	-86.8151317 
56869945.56 	-86.7551468 
56997968.24 	-86.6951556 
57126279.12 	-86.635158  
57254878.84 	-86.575154  
57383768.07 	-86.5151436 
57512947.44 	-86.4551267 
57642417.61 	-86.3951032 
57772179.24 	-86.3350733 
57902232.98 	-86.2750368 
58032579.5  	-86.2149936 
58163219.44 	-86.1549439 
58294153.47 	-86.0948875 
58425382.26 	-86.0348244 
58556906.45 	-85.9747546 
58688726.73 	-85.914678  
58820843.76 	-85.8545947 
58953258.2  	-85.7945046 
59085970.73 	-85.7344076 
59218982.01 	-85.6743037 
59352292.72 	-85.6141929 
59485903.54 	-85.5540752 
59619815.13 	-85.4939505 
59754028.17 	-85.4338188 
59888543.35 	-85.3736801 
60023361.34 	-85.3135343 
60158482.83 	-85.2533814 
60293908.49 	-85.1932214 
60429639.02 	-85.1330542 
60565675.1  	-85.0728798 
60702017.42 	-85.0126981 
60838666.66 	-84.9525092 
60975623.52 	-84.892313  
61112888.69 	-84.8321095 
61250462.87 	-84.7718985 
61388346.74 	-84.7116802 
61526541.01 	-84.6514544 
61665046.38 	-84.5912212 
61803863.55 	-84.5309805 
61942993.21 	-84.4707322 
62082436.07 	-84.4104763 
62222192.84 	-84.3502128 
62362264.23 	-84.2899417 
62502650.93 	-84.2296629 
62643353.67 	-84.1693764 
62784373.14 	-84.1090821 
62925710.08 	-84.04878   
63067365.18 	-83.9884701 
63209339.18 	-83.9281523 
63351632.77 	-83.8678266 
63494246.69 	-83.807493  
63637181.66 	-83.7471514 
63780438.39 	-83.6868018 
63924017.61 	-83.6264441 
64067920.06 	-83.5660784 
64212146.45 	-83.5057045 
64356697.51 	-83.4453224 
64501573.98 	-83.3849322 
64646776.59 	-83.3245337 
64792306.07 	-83.264127  
